;;MTRL-0321;;;;;;;;
Tipo: Relatório de chamadas;;;;;;;;;;
Chamadas atendidas: De 01/03/2021 10:14:00 Para 31/03/2021 11:14:00;;;;;;;;;;
ID da chamada: Ramais no intervalo '0098-0099';;;;;;;;;;
Destino: Qualquer número;;;;;;;;;;
Duração da chamada;ID da chamada;;Destino;Status;Tocando;Falando;Totais;Custo;Razão;Play
24/03/2021 11:50;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61157E+11;Atendida;00:00:01;00:00:11;00:00:12;0,18;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 11:52;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61195E+12;Atendida;00:00:08;00:00:03;00:00:11;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 11:53;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:07;00:00:07;00:00:14;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 12:51;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61195E+12;Atendida;00:00:16;00:00:35;00:00:51;0,58;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:13;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:40;00:00:03;00:00:43;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:14;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:38;00:00:46;00:01:24;0,77;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:16;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:08;00:04:13;00:04:21;4,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:21;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:04;00:00:13;00:00:17;0,22;Terminado por 02619989681135;
24/03/2021 13:22;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:06;00:00:04;00:00:10;0,07;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:23;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:13;00:00:33;00:00:46;0,55;Terminado por 02619994749462;
24/03/2021 13:24;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:15;00:00:06;00:00:21;0,1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:24;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:01:20;00:00:03;00:01:23;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:27;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:27;00:00:40;00:01:07;0,67;Terminado por 02619997076456;
24/03/2021 13:30;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,62E+12;Atendida;00:00:15;00:00:07;00:00:22;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:30;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:27;00:00:05;00:00:32;0,08;Terminado por 02619988007888;
24/03/2021 13:31;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:40;00:00:37;00:01:17;0,62;Terminado por 02619988007888;
24/03/2021 13:33;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:10;00:00:12;00:00:22;0,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:34;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:10;00:00:17;00:00:27;0,28;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:36;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:15;00:00:13;00:00:28;0,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:37;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:44;00:00:11;00:00:55;0,18;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:39;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:32;00:00:14;00:00:46;0,23;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:42;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:26;00:00:11;00:00:37;0,18;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:43;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:42;00:00:40;00:01:22;0,67;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:44;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61998E+12;Atendida;00:00:17;00:00:12;00:00:29;0,2;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
24/03/2021 13:45;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61999E+12;Atendida;00:00:14;00:00:52;00:01:06;0,87;Terminado por 02619992234335;
