;;MTRL-0421;;;;;;;;
Tipo: Relatório de chamadas;;;;;;;;;;
Chamadas atendidas: De 01/04/2021 10:14:00 Para 30/04/2021 11:14:00;;;;;;;;;;
ID da chamada: Ramais no intervalo '0098-0099';;;;;;;;;;
Destino: Qualquer número;;;;;;;;;;
Duração da chamada;ID da chamada;;Destino;Status;Tocando;Falando;Totais;Custo;Razão;Play
05/04/2021 13:20;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:27;00:00:11;00:00:38;0,18;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
05/04/2021 14:24;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:39;00:00:05;00:00:44;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
05/04/2021 14:37;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:20;00:00:05;00:00:25;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 13:49;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:37;00:00:37;00:01:14;0,62;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 14:29;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:06;00:00:08;00:00:14;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 14:58;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:15;00:00:31;00:00:46;0,52;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 15:36;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:26;00:00:06;00:00:32;0,1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 15:37;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:11;00:00:30;00:00:41;0,5;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 15:40;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:12;00:00:52;00:01:04;0,87;Terminado por 02611994463809;
06/04/2021 16:27;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61195E+12;Atendida;00:00:20;00:00:08;00:00:28;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 16:28;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61195E+12;Atendida;00:00:16;00:00:08;00:00:24;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 16:33;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61195E+12;Atendida;00:00:19;00:00:07;00:00:26;0,12;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 16:34;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61195E+12;Atendida;00:00:14;00:00:05;00:00:19;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 16:36;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61195E+12;Atendida;00:00:14;00:00:09;00:00:23;0,15;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
06/04/2021 16:37;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61195E+12;Atendida;00:00:14;00:00:15;00:00:29;0,25;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 08:16;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:39;00:00:14;00:00:53;0,23;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:04;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:42;00:00:06;00:00:48;0,1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:12;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:05;00:00:14;00:00:19;0,23;Terminado por 02611992608105;
07/04/2021 09:17;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:23;00:00:05;00:00:28;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:20;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+11;Atendida;00:00:36;00:00:04;00:00:40;0,07;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:21;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:44;00:00:13;00:00:57;0,22;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:30;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:09;00:00:06;00:00:15;0,1;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:35;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:44;00:00:14;00:00:58;0,23;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:38;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:40;00:00:11;00:00:51;0,18;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:42;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:44;00:00:15;00:00:59;0,25;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:46;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61139E+11;Atendida;00:00:23;00:00:09;00:00:32;0,15;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:47;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:09;00:00:21;00:00:30;0,35;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 09:55;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:14;00:00:07;00:00:21;0,12;Terminado por 02611982721414;
07/04/2021 09:57;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:10;00:00:08;00:00:18;0,13;Terminado por 02611982654622;
07/04/2021 10:00;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:07;00:00:02;00:00:09;0,03;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:00;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:42;00:00:31;00:01:13;0,52;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:02;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:07;00:00:08;00:00:15;0,13;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:05;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61198E+12;Atendida;00:00:16;00:00:21;00:00:37;0,35;Terminado por 02611982654622;
07/04/2021 10:11;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:15;00:00:17;00:00:32;0,28;Terminado por 02611993565359;
07/04/2021 10:18;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:48;00:00:04;00:00:52;0,07;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:23;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:42;00:00:04;00:00:46;0,07;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:27;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:01:05;00:00:05;00:01:10;0,08;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
07/04/2021 10:31;3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);;2,61199E+12;Atendida;00:00:07;00:00:03;00:00:10;0,05;Terminado por 3CX-Montreal-Compras-Recepcao-11-3195-5324 (0098);
